epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.008,1.37411,1.05135,1.42509,0.57729,0.70003,0.64246,0.31978,1.63651,1.1551,1.68572,0.000552491,0.000552491,0.000552491
2,68.0393,1.33232,0.86405,1.40346,0.63713,0.71867,0.70959,0.42497,1.35368,1.03414,1.46543,0.00109719,0.00109719,0.00109719
3,100.327,1.32095,0.8426,1.39087,0.45252,0.75726,0.59834,0.36023,1.3282,1.45486,1.44142,0.00163088,0.00163088,0.00163088
4,132.383,1.28074,0.79983,1.36963,0.72205,0.73144,0.78318,0.49011,1.28387,0.89196,1.39501,0.00161749,0.00161749,0.00161749
5,164.661,1.25306,0.7675,1.34181,0.75793,0.74762,0.80464,0.50918,1.29007,0.76254,1.38322,0.00160099,0.00160099,0.00160099
6,196.509,1.22607,0.73953,1.32334,0.74994,0.73906,0.80278,0.51728,1.26,0.71522,1.36491,0.00158448,0.00158448,0.00158448
7,228.294,1.20469,0.72462,1.31362,0.68772,0.73942,0.78115,0.48582,1.3094,0.77166,1.40587,0.00156798,0.00156798,0.00156798
8,260.147,1.20304,0.70894,1.31414,0.74594,0.77822,0.81404,0.52099,1.26799,0.7069,1.37848,0.00155148,0.00155148,0.00155148
9,292.287,1.17451,0.6907,1.29596,0.71013,0.76689,0.7913,0.51281,1.24236,0.73696,1.35505,0.00153497,0.00153497,0.00153497
10,324.481,1.1771,0.68863,1.30183,0.77746,0.74739,0.80126,0.51641,1.25077,0.74885,1.35685,0.00151847,0.00151847,0.00151847
11,356.813,1.16343,0.67308,1.28572,0.75349,0.7591,0.81319,0.53321,1.22122,0.67899,1.3329,0.00150197,0.00150197,0.00150197
12,388.928,1.15141,0.66333,1.27595,0.73535,0.76996,0.8064,0.52072,1.26849,0.70181,1.37324,0.00148546,0.00148546,0.00148546
13,420.996,1.13542,0.65725,1.26949,0.73496,0.8042,0.82366,0.53254,1.25385,0.68067,1.35861,0.00146896,0.00146896,0.00146896
14,453.221,1.13711,0.64575,1.26704,0.75503,0.78683,0.82677,0.54522,1.22825,0.67126,1.33648,0.00145246,0.00145246,0.00145246
15,485.721,1.11304,0.63066,1.25622,0.71295,0.81446,0.81613,0.54498,1.21354,0.70737,1.33987,0.00143595,0.00143595,0.00143595
16,517.92,1.11819,0.63669,1.25486,0.77041,0.79374,0.82577,0.53781,1.24517,0.67054,1.35715,0.00141945,0.00141945,0.00141945
17,550.162,1.10941,0.62691,1.25055,0.77306,0.75551,0.81476,0.53508,1.23706,0.66411,1.35284,0.00140295,0.00140295,0.00140295
18,582.205,1.08984,0.6061,1.23781,0.70428,0.81684,0.82238,0.54356,1.21935,0.67293,1.33536,0.00138644,0.00138644,0.00138644
19,614.289,1.08998,0.61018,1.23927,0.76786,0.77247,0.82086,0.5421,1.24063,0.65442,1.34915,0.00136994,0.00136994,0.00136994
20,646.382,1.08449,0.60188,1.241,0.70704,0.82276,0.80974,0.533,1.24286,0.64929,1.36241,0.00135344,0.00135344,0.00135344
21,678.41,1.07885,0.59644,1.23327,0.74565,0.78293,0.80651,0.53541,1.21673,0.65475,1.33502,0.00133693,0.00133693,0.00133693
22,710.54,1.07182,0.58534,1.22586,0.75737,0.79937,0.80061,0.52936,1.22891,0.68181,1.34295,0.00132043,0.00132043,0.00132043
23,742.548,1.0581,0.58251,1.21578,0.73364,0.79205,0.81551,0.54665,1.22434,0.67145,1.34149,0.00130393,0.00130393,0.00130393
24,774.799,1.05572,0.57887,1.21842,0.79325,0.75716,0.81971,0.54364,1.22356,0.65731,1.33966,0.00128742,0.00128742,0.00128742
25,806.5,1.0443,0.57372,1.2152,0.74456,0.79507,0.81904,0.5416,1.2313,0.66813,1.34311,0.00127092,0.00127092,0.00127092
26,838.65,1.03658,0.55797,1.20412,0.77472,0.74686,0.81558,0.53766,1.24241,0.65523,1.35003,0.00125442,0.00125442,0.00125442
27,870.783,1.03498,0.56243,1.20745,0.75633,0.78874,0.80848,0.5324,1.23779,0.6601,1.35213,0.00123791,0.00123791,0.00123791
28,903.134,1.02225,0.55607,1.19464,0.73437,0.80139,0.81546,0.54086,1.24469,0.66587,1.35185,0.00122141,0.00122141,0.00122141
29,935.395,1.00804,0.54345,1.18649,0.7749,0.77772,0.82295,0.54185,1.23655,0.66567,1.35848,0.00120491,0.00120491,0.00120491
30,967.512,1.00631,0.53911,1.18279,0.77388,0.77935,0.81766,0.54176,1.25106,0.65486,1.36004,0.0011884,0.0011884,0.0011884
31,999.598,0.9971,0.53372,1.18031,0.7601,0.78962,0.81031,0.53596,1.24002,0.65415,1.34903,0.0011719,0.0011719,0.0011719
32,1031.72,0.99279,0.52973,1.17608,0.76419,0.78089,0.81493,0.54499,1.23246,0.65515,1.34479,0.0011554,0.0011554,0.0011554
33,1063.68,0.98538,0.5221,1.16957,0.72816,0.80423,0.8109,0.54116,1.23805,0.66408,1.34559,0.00113889,0.00113889,0.00113889
